name,calories,protein,carbs,fat,sugar,sodium,saturated_fat,fiber
"BUTTER,WITH SALT",717.0,0.85,0.06,81.11,0.06,714.0,28.470739999999992,0.0
"BUTTER,WHIPPED,WITH SALT",717.0,0.85,0.06,81.11,0.06,827.0,28.470739999999992,0.0
"BUTTER OIL,ANHYDROUS",876.0,0.28,0.0,99.48,0.0,2.0,28.470739999999992,0.0
"CHEESE,BLUE",353.0,21.4,2.34,28.74,0.5,1395.0,18.669,0.0
"CHEESE,BRICK",371.0,23.24,2.79,29.68,0.51,560.0,18.764,0.0
"CHEESE,BRIE",334.0,20.75,0.45,27.68,0.45,629.0,17.41,0.0
"CHEESE,CAMEMBERT",300.0,19.8,0.46,24.26,0.46,842.0,15.259,0.0
"CHEESE,CHEDDAR",403.0,24.9,1.28,33.14,0.52,621.0,21.092,0.0
"CHEESE,COLBY",394.0,23.76,2.57,32.11,0.52,604.0,20.218,0.0
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98.0,11.12,3.38,4.3,2.67,364.0,1.718,0.0
"CHEESE,COTTAGE,CRMD,W/FRUIT",97.0,10.69,4.61,3.85,2.38,344.0,2.311,0.0
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72.0,10.34,6.66,0.29,1.85,330.0,0.169,0.0
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",86.0,11.83,3.66,2.45,3.67,330.0,0.979,0.0
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72.0,12.39,2.72,1.02,2.72,406.0,0.645,0.0
"CHEESE,CREAM",342.0,5.93,4.07,34.24,3.21,321.0,19.292,0.0
"CHEESE,EDAM",357.0,24.99,1.43,27.8,1.43,965.0,17.572,0.0
"CHEESE,FETA",264.0,14.21,4.09,21.28,4.09,1116.0,14.946,0.0
"CHEESE,FONTINA",389.0,25.6,1.55,31.14,1.55,800.0,19.196,0.0
"CHEESE,GOUDA",356.0,24.94,2.22,27.44,2.22,819.0,17.614,0.0
"CHEESE,GRUYERE",413.0,29.81,0.36,32.34,0.36,336.0,18.913,0.0
"CHEESE,LIMBURGER",327.0,20.05,0.49,27.25,0.49,800.0,16.746,0.0
"CHEESE,MONTEREY",373.0,24.48,0.68,30.28,0.5,536.0,19.066,0.0
"CHEESE,MOZZARELLA,WHL MILK",300.0,22.17,2.19,22.35,1.03,627.0,13.152,0.0
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318.0,21.6,2.47,24.64,1.01,415.0,15.561,0.0
"CHEESE,MOZZARELLA,PART SKIM MILK",254.0,24.26,2.77,15.92,1.13,619.0,10.114,0.0
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",302.0,25.96,3.83,20.03,0.6,652.0,10.877,0.0
"CHEESE,MUENSTER",368.0,23.41,1.12,30.04,1.12,628.0,19.113,0.0
"CHEESE,NEUFCHATEL",253.0,9.15,3.59,22.78,3.19,334.0,12.79,0.0
"CHEESE,PARMESAN,GRATED",431.0,35.62,4.06,28.61,0.9,1529.0,17.301,0.0
"CHEESE,PARMESAN,HARD",392.0,35.62,3.22,25.83,0.8,1602.0,16.41,0.0
